Ищет работу на должность:,Последнее/нынешнее место работы,Последняя/нынешняя должность,Обновление резюме,Авто,Образование,Пол,Возраст,Опыт работы (месяц),Город,Готовность к переезду,Готовность к командировкам,полная занятость,частичная занятость,проектная работа,стажировка,волонтерство,гибкий график,полный день,сменный график,вахтовый метод,удаленная работа,ЗП (руб)
Сервисный инженер,Regenersis rus,Сервисный инженер,07.05.2019 10:18,Не указано,среднее специальное,М,38,28.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,40000
Junior Android разработчик (Java/Kotlin),ООО АБС,Android разработчик,26.04.2019 06:35,Не указано,высшее,М,22,8.0,город-миллионник,True,False,True,True,False,False,False,True,True,False,False,True,40000
Специалист по IT,ООО Интернет Магазин,Выездной сервисный инженер,22.04.2019 01:30,Не указано,среднее специальное,М,25,20.0,город-миллионник,False,True,True,True,True,True,False,True,True,True,False,True,30000
Копирайтер,Кофейня чайникофф,Бармен,18.04.2019 18:20,Не указано,неоконченное высшее,Ж,19,6.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,25000
Техник-программист,КУП НКТВ «Вектор»,Инженер - администратор ТКС,22.04.2019 08:26,Не указано,среднее специальное,М,24,18.0,другие,True,True,True,True,True,False,False,True,True,True,False,True,13739
Системный администратор,Индивидуальное предпринимательство / частная практика / фриланс,Мастер по ремонту компьютеров,22.04.2019 14:46,Не указано,среднее специальное,М,22,15.0,город-миллионник,False,True,True,False,False,False,False,False,True,False,True,False,25000
Менеджер проекта,ООО Предприятие Элтекс,Менеджер по продажам сетевого и телекоммуникационного оборудования,07.05.2019 10:04,Не указано,высшее,М,23,22.0,город-миллионник,True,True,True,False,False,False,False,False,True,False,False,False,55000
Системный администратор,"АО «Айтеко""",IT-инженер,07.05.2019 10:55,Не указано,неоконченное высшее,М,22,13.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,25000
Программист-разработчик,Финансовое Агентство по Сбору Платежей,Программист-разработчик,31.10.2018 14:58,Не указано,среднее специальное,М,21,8.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,50000
"Электромонтер линейных сооружений электросвязи (АТС Байтерек, 7 разряд, Жуалынский район)",Жуалы ЛТЦ Жамбылского ТУМС,монтер,25.04.2019 15:18,Не указано,высшее,М,22,6.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,10127
Монтажник слаботочных систем,ООО,Монтажник слаботочных систем,13.05.2019 15:53,Не указано,среднее специальное,М,23,19.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,25000
ИТ-специалист,Пинта,Официант,25.04.2019 15:34,Не указано,неоконченное высшее,М,21,14.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,15191
Помощник системного администратора,ТЕЛЕКОНТАКТ,Оператор call-центра,21.04.2019 17:52,Не указано,среднее специальное,М,22,6.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,15000
Ассистент руководителя проекта,Государственный университет управления,Оператор ПК-консультант,22.04.2019 20:56,Не указано,высшее,М,23,9.0,Москва,False,True,True,False,False,False,False,True,True,True,False,False,45000
"Специалист по информационной безопасности, системный администратор",Компания ТрансТелеКом,Главный специалист отдела мониторинга,12.04.2019 06:08,Не указано,высшее,М,25,20.0,другие,False,True,True,False,False,False,False,False,True,False,False,False,40000
Оператор саll-центра,ООО Екатеринбург 2000,Специалист контакт-центра,19.04.2019 16:09,Не указано,среднее специальное,М,24,23.0,город-миллионник,True,False,True,False,False,False,False,False,False,True,False,False,60000
Менеджер проектов,Тайота-центр,Специалист по продажам,22.04.2019 09:36,Не указано,высшее,М,24,5.0,город-миллионник,False,False,True,False,False,True,False,False,True,True,False,False,51000
Начинающий специалист,М.Видео,Продавец-консультант,21.04.2019 13:34,Не указано,неоконченное высшее,М,18,6.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,35000
Специалист сервисного центра,ПИТЕРАВТО,Техник бортового оборудования,21.04.2019 23:54,Не указано,среднее специальное,М,22,2.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,30000
Офисный работник,Алданский районый суд,Секретарь судебного заседания,14.05.2019 09:30,Не указано,высшее,Ж,26,20.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,40000
Инженер по эксплуатации базовых станций и антенно-мачтовых сооружений,Концерн ВКО Алмаз-Антей,Аппаратчик водородно-кислородной станции,07.05.2019 12:39,Не указано,высшее,М,23,15.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,60000
Инженер технической поддержки,"КАМАЗ, ОАО",Оператор ЭВМ,26.04.2019 14:40,Не указано,среднее специальное,М,21,13.0,другие,False,True,True,False,False,False,False,False,True,False,False,False,25000
Менеджер проектов,Экспострой,Менеджер проектов,22.04.2019 12:38,Не указано,высшее,М,25,17.0,Москва,False,False,True,True,True,False,False,True,True,True,False,True,100000
Инженер (Техник) Связи,МГТС,Электромонтер линейных сооружений,09.04.2019 10:59,Не указано,среднее специальное,М,24,22.0,Москва,True,True,True,True,True,True,True,True,True,True,True,True,40000
Тестировщик,"ООО ""ГазАртСтрой""",Подсобный рабочий,18.04.2019 10:53,Не указано,неоконченное высшее,М,20,3.0,другие,False,False,True,True,False,True,False,True,True,True,False,False,15000
Python developer (Flask),Сбербанк,Программист-стажер,07.05.2019 13:16,Не указано,неоконченное высшее,М,21,14.0,Москва,False,False,True,True,False,False,False,True,True,False,False,False,100000
Специалист технической поддержки,TrancAviaservices,Специалист технической поддержки,07.05.2019 13:00,Не указано,среднее специальное,М,21,14.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,40000
JavaScript разработчик,Курсы в академии IT-парка,студент,19.04.2019 22:08,Не указано,высшее,М,19,6.0,город-миллионник,False,False,False,True,False,False,False,False,True,False,False,False,18000
Тестировщик-стажёр,МКДОУ №509,младший воспитатель,16.04.2019 09:39,Не указано,неоконченное высшее,Ж,22,15.0,город-миллионник,False,False,False,True,False,False,False,False,False,False,False,True,20000
IT-инженер,Parallels,Младший инженер поддержки,11.04.2019 16:12,Не указано,высшее,М,22,13.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,65000
Web-программист,Новый Крым,Web-дизайнер,11.04.2019 07:12,Имеется собственный автомобиль,высшее,М,21,14.0,другие,False,False,True,False,False,False,False,False,True,False,False,True,30000
Программист графики (junior),Nexign,Инженер-стажер (QA),06.04.2019 14:14,Не указано,неоконченное высшее,М,21,6.0,Санкт-Петербург,False,False,True,False,False,False,False,False,True,False,False,False,20000
Бизнес-аналитик,Алантос,Кассир,22.04.2019 04:32,Не указано,высшее,М,25,15.0,другие,False,True,True,True,True,True,True,False,False,False,False,True,40000
Специалист по IT,РЖД Главный вычислительный центр ОСК ИнфоТранс,Старший специалист,07.05.2019 16:29,Не указано,среднее специальное,М,22,17.0,Москва,False,True,True,False,False,False,False,False,True,False,False,False,68000
Junior-разработчик,Санкт-Петербургский государственный политехнический университет,Junior-разработчик,06.04.2019 10:31,Не указано,высшее,Ж,21,8.0,Санкт-Петербург,False,False,False,True,False,True,False,True,False,False,False,True,50000
Помощник системного администратора,piople collection,Монтажник,14.04.2019 20:05,Не указано,среднее специальное,М,22,17.0,Москва,False,False,True,False,False,False,False,True,True,True,False,False,40000
Специалист по информационным системам (Нефтяная отрасль),"Татнефть, ОАО (Ямаш-Нефть - Санаторий Ян)",Приёмщик пункта проката,12.04.2019 22:02,Имеется собственный автомобиль,среднее специальное,М,23,15.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,20000
Специалист,"ООО ""Торговое оборудование""",менеджер ТХО,10.04.2019 20:42,Не указано,высшее,М,36,26.0,другие,False,True,True,True,True,False,False,True,True,True,False,True,25000
HTML-верстальщик,Индивидуальное предпринимательство / частная практика / фриланс,Web-разработчик,26.04.2019 13:02,Не указано,высшее,М,23,12.0,город-миллионник,False,True,True,False,False,False,False,False,True,False,False,False,35000
Специалист по информационной безопасности,"ФГАОУ ВО ""БФУ им. И. Канта""",IT-инженер,21.04.2019 16:04,Не указано,высшее,М,24,16.0,другие,True,True,True,False,False,False,False,False,True,True,False,False,40000
QA инженер,Ростелеком,Инженер электросвязи,06.05.2019 23:37,Не указано,высшее,Ж,22,5.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,25000
Инженер-тестировщик,"ООО ""Дататех""",Инженер-тестировщик,07.05.2019 13:34,Не указано,высшее,Ж,24,15.0,город-миллионник,False,True,True,False,False,False,False,False,True,False,False,False,35000
Стажер,Bytex,Младший тестировщик,07.05.2019 11:58,Имеется собственный автомобиль,высшее,М,23,12.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,27000
Менеджер интернет-магазина,ООО Носок.ру,Менеджер интернет-магазина,26.04.2019 10:54,Не указано,среднее,Ж,24,20.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,40000
Контент-менеджер,ИП (интернет-магазин для нумизматов),Контент-менеджер,21.04.2019 12:50,Не указано,неоконченное высшее,Ж,19,9.0,Москва,False,False,True,False,False,False,False,True,True,True,False,True,35000
Техник-электрик,Аксай Газ Сервис,Электрик,22.04.2019 10:07,Имеется собственный автомобиль,высшее,М,25,13.0,другие,True,True,True,False,False,False,False,False,True,False,True,False,16867
Начинающий специалист,SmartDive,Специалист call-центра,07.04.2019 17:02,Не указано,среднее специальное,М,19,9.0,город-миллионник,False,False,False,True,False,False,False,True,False,False,False,False,20000
Интернет-маркетолог,Ploskov prod.,Маркетолог,25.04.2019 10:29,Не указано,высшее,М,26,17.0,Москва,True,True,True,False,False,False,False,False,True,False,False,False,80000
Менеджер проекта,Торговый дома Эколос,Отдел кадров,26.04.2019 08:30,Не указано,высшее,Ж,26,14.0,другие,False,True,True,False,False,False,False,False,True,False,False,False,30627
Офис-менеджер,ООО Мобильная сеть,Специалист по продвижению,10.04.2019 12:57,Не указано,среднее,М,29,11.0,другие,True,False,True,False,False,False,False,False,True,False,False,False,20000
Специалист по защите информации,Крок инкорпорейтед,Инженер серверных систем,14.04.2018 21:48,Не указано,неоконченное высшее,М,23,15.0,Москва,False,True,True,True,True,True,False,True,False,True,False,True,40000
Инженер отдела технической поддержки/Системный администратор,Ай-Теко (I-Teco),Ведущий инженер технической поддержки,22.04.2018 23:00,Не указано,неоконченное высшее,М,23,17.0,Москва,True,True,False,True,False,False,False,True,False,False,False,False,25000
"Электромонтёр по ремонту и обслуживанию электрооборудования , г. Новый Уренгой",ООО «ПАРКНЕФТЬ»,Электромонтажник по силовым сетям и электрооборудованию 4 разряд,10.04.2019 20:48,Не указано,высшее,М,24,20.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,35000
Системный администратор,Управление гражданской защиты г. Казани,Системный администратор,26.04.2019 21:10,Имеется собственный автомобиль,высшее,М,24,19.0,Москва,True,True,True,False,False,False,False,False,True,False,False,False,80000
"Технический специалист, Помошник системного администратора",УРТК,Специалист по технической поддержке,25.04.2019 09:37,Не указано,среднее специальное,М,22,20.0,город-миллионник,False,True,True,False,False,False,False,True,True,True,False,False,35000
Оператор видеонаблюдения,ЗАО КомЭстейд трц калейдоскоп,Оператор видеонаблюдения,15.04.2019 22:40,Не указано,среднее,М,30,10.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,35000
Системный администратор,УМВД России по городу Туле,IT-инженер,22.04.2019 09:04,Не указано,среднее специальное,М,23,18.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,35000
Специалист,Ренессанс Кредит,Кредитный специалист,21.04.2019 17:19,Не указано,высшее,М,23,19.0,другие,True,False,True,True,False,False,False,True,False,True,False,True,40000
Технический специалист,"ООО ""АЙТИ-ИНТЕГО""",Старший специалист,22.04.2019 18:40,Не указано,высшее,М,20,10.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,25000
"Оператор ПК, Системный администратор",Центр выдачи паспорта болельщика (FAN ID),"Оператор ПК, Помощник системного администратора",09.04.2019 13:39,Не указано,высшее,М,21,14.0,Москва,False,True,True,False,False,False,False,False,True,False,False,False,30000
Монтажник связи,АО «НВБС»,Техник,22.04.2019 20:21,Не указано,среднее специальное,М,25,17.0,Санкт-Петербург,False,False,True,False,False,False,False,False,True,False,False,False,45000
Программист-стажер,"ооо""Сагитта""",Системный администратор,08.04.2019 12:38,Не указано,неоконченное высшее,М,29,18.0,Санкт-Петербург,False,False,True,True,False,True,False,True,True,False,False,True,30000
Мастер по ремонту компьютеров,Баба рома,Младший кондитер(заготовщик),12.04.2019 10:58,Не указано,неоконченное высшее,М,22,8.0,Москва,True,False,True,False,False,False,False,False,True,False,False,False,50000
Аналитик,Петербургский колл-центр,Менеджер проектов,25.04.2019 16:41,Не указано,высшее,Ж,24,15.0,Санкт-Петербург,False,True,True,False,False,False,False,False,True,False,False,False,35000
Web-разработчик,Дом,HTML-верстальщик,04.07.2018 09:45,Не указано,высшее,М,25,16.0,Москва,False,False,True,True,True,True,False,True,True,True,False,True,25000
"Помощник системного администратора, Младший системный администратор, Системный администратор.","ООО ""САДАТ""",Разработчик C#,12.11.2018 09:33,Не указано,среднее специальное,М,22,9.0,Москва,False,True,True,False,False,False,False,False,True,False,False,False,40000
Системный администратор,Витебская универсальная база,Ведущий системный администратор,22.04.2019 06:43,Не указано,неоконченное высшее,М,23,17.0,другие,True,False,True,False,False,False,False,False,True,False,False,False,18318
Data Analyst / Developer,"Тензор, ООО",Backend developer,10.05.2019 23:40,Не указано,высшее,М,22,21.0,Санкт-Петербург,True,False,True,True,True,True,False,True,True,True,False,True,100000
Software Engineer,ЮАЭС,Инженер по расчетам и режимам,26.04.2019 13:43,Не указано,высшее,М,24,14.0,другие,True,True,True,False,False,False,False,False,True,False,False,False,32339
Инженерный психолог,СКБ Контур,Технический специалист,21.04.2019 13:37,Не указано,неоконченное высшее,Ж,20,11.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,45000
Bell Attendant/ Посыльный,Авито,Специалист по качеству контента,25.04.2019 12:25,Не указано,высшее,М,26,8.0,Санкт-Петербург,True,False,True,True,False,False,False,True,True,True,False,True,40000
Специалист по IT,Робомед Системс,Специалист по IT,16.11.2018 13:44,Не указано,высшее,М,27,19.0,Москва,False,True,True,False,False,False,False,False,True,False,False,False,100000
HR-аналитик/Аналитик,Adnow Media,HR-аналитик,22.04.2019 17:25,Не указано,высшее,М,23,19.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,60000
Тестировщик ПО,"ООО ""Дельта-Москва 3""",Инженер по тестированию охранных систем,07.05.2019 12:08,Не указано,высшее,М,31,13.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,45000
Инженер технической поддержки / помощник системного администратора,"ООО""CRMM"" Москва",Системный администратор,13.05.2019 10:17,Имеется собственный автомобиль,среднее специальное,М,20,6.0,другие,False,False,True,False,False,False,False,True,True,True,False,False,25000
Сетевой инженер,Филиал ФКУ Налог-Сервис ФНС России по МО,Главный специалист,26.04.2019 15:33,Имеется собственный автомобиль,высшее,М,43,29.0,Москва,False,True,True,False,False,False,False,False,True,False,False,False,75000
Rofler,Добропек,Специалист технической поддержки,12.04.2019 17:39,Не указано,неоконченное высшее,М,21,11.0,город-миллионник,False,False,True,True,False,False,False,True,False,True,False,True,15000
Консультант 1C,Администрация,Главный специалист отдела по вопросам развития сельского хозяйства,21.04.2019 19:50,Имеется собственный автомобиль,высшее,Ж,25,17.0,другие,False,False,False,True,False,False,False,False,False,False,False,True,15000
Java-разработчик,AISA,"Web-программист, Java-разработчик",26.04.2019 10:01,Не указано,высшее,М,24,3.0,Санкт-Петербург,True,True,True,True,False,True,False,True,True,True,False,True,80000
"Frontend, Медиа, Контент",Технодом,Контент-специалист,22.04.2019 07:27,Не указано,высшее,М,22,11.0,другие,False,True,True,True,True,False,False,True,True,True,True,True,42170
Специалист по информационной безопасности,"Kaspi Bank, АО",Kaspi Гид,26.04.2019 16:26,Не указано,высшее,Ж,21,8.0,другие,True,True,True,False,False,False,False,False,True,False,False,False,11910
Стажер-программист,Atlant - Group,Стажер-программист,07.05.2019 16:50,Не указано,неоконченное высшее,М,20,6.0,Москва,False,False,True,True,False,True,False,True,True,False,False,True,30000
Контент/SMM-менеджер,"Фармасинтез, ОАО",Просмотрщик продукции медицинского назначения,15.04.2019 20:28,Не указано,среднее специальное,Ж,21,17.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,18000
Unity Developer C#,JigsawPuzzles,Инженер-программист,22.04.2019 18:21,Не указано,неоконченное высшее,М,22,16.0,другие,True,False,True,True,True,True,False,True,True,False,False,True,40000
Специалист технической поддержки,"Телеком-Экспресс, ООО",Младший инженер,14.05.2019 07:52,Не указано,среднее специальное,М,22,11.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,40000
Начинающий разработчик VR\AR,"Российские железные дороги, ОАО",Кладовщик,16.04.2019 17:30,Не указано,среднее специальное,М,25,8.0,другие,True,True,True,False,False,False,False,False,True,False,False,False,35000
Руководитель проектов,"Муниципальное казенное учреждение ""Жилкомэнергосервис""",Инженре 1 категории,19.04.2019 19:37,Не указано,высшее,Ж,33,23.0,другие,True,False,True,True,False,False,False,True,True,True,False,True,150000
Младший программист,-,Младший программист,22.04.2019 17:40,Не указано,высшее,М,22,4.0,Санкт-Петербург,False,True,True,False,False,False,False,False,True,False,False,False,20000
Junior Unity3D / C# Developer,ТехПромРесурс,Администратор веб-сайтов,20.12.2018 17:59,Не указано,среднее специальное,Ж,30,26.0,Москва,False,False,True,True,False,True,False,True,True,False,False,True,45000
Аналитик отдела продаж,Банк ВТБ,Специалист,21.04.2019 16:13,Не указано,высшее,М,23,15.0,Москва,True,True,True,False,False,False,False,False,True,False,False,False,60000
Веб-дизайнер,Вартон,Дизайнер-проектировщик,15.04.2019 16:42,Имеется собственный автомобиль,высшее,М,24,22.0,Москва,True,True,True,False,False,False,False,True,True,True,False,True,60000
Junior Frontend разработчик,"IT школа ""Hello world""",Преподаватель Frontend/Python разработки,09.04.2019 01:20,Не указано,высшее,М,22,18.0,Санкт-Петербург,False,True,False,True,False,True,False,True,False,True,False,True,30000
Инженер АСУ ТП,«Соликамский магниевый завод»,Мастер по ремонту (эксплуатации весов),15.04.2019 09:28,Не указано,высшее,Ж,21,9.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,30000
Специалист по информационным технологиям,"Газпром нефтехим Салават, ОАО",Специалист информационных систем производства,22.04.2019 05:00,Не указано,высшее,М,23,21.0,город-миллионник,False,True,True,False,False,False,False,True,True,True,True,True,45000
Монтажник слаботочных систем,Спектр,Монтажник связи,11.04.2019 12:09,Не указано,среднее специальное,М,23,5.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,25000
Оператор,"Тинькофф Кредитные Системы, Банк (закрытое акционерное общество)",Оператор,17.04.2019 08:12,Не указано,среднее специальное,Ж,25,9.0,другие,False,False,True,False,False,False,False,False,False,True,False,True,18000
Junior front end developer,ProfCosmetic,Web-мастер,26.04.2019 12:31,Не указано,высшее,М,22,21.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,19403
Менеджер,Федеральная налоговая служба (ФНС России),Специалист по работе с клиентами,22.04.2019 08:20,Имеется собственный автомобиль,высшее,Ж,22,8.0,другие,True,False,True,False,False,False,False,False,True,False,False,False,20000
"Программист, дизайнер, создание, поддержка сайтов",Химпластсервис,Оператор ЧПУ,26.04.2019 10:44,Имеется собственный автомобиль,высшее,М,22,20.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,35000
Инженер-программист,Пмк-10,Инженер-программист,22.04.2019 13:11,Не указано,среднее специальное,М,22,1.0,другие,True,True,False,True,True,False,False,True,False,False,False,True,30531
Программист Java,КСК групп,Инженер,26.04.2019 11:25,Не указано,высшее,М,29,8.0,Москва,False,True,True,False,False,False,False,False,True,False,False,False,40000
CRM-разработчик,Лига цифровой экономики,CRM-разработчик,20.05.2018 16:51,Имеется собственный автомобиль,высшее,М,25,21.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,80000
Специалист по IT,"ООО ""Ф1-лаб""",Специалист по IT,22.04.2019 10:50,Не указано,неоконченное высшее,М,27,23.0,другие,True,False,True,True,False,True,False,False,True,True,False,True,55000
Аналитик отдела продаж,Мечта,Аналитик отдела продаж,26.04.2019 12:07,Не указано,среднее специальное,Ж,23,14.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,40000
Аналитик (Data analyst / Data Scientist),"Промсвязьбанк, ПАО",Аналитик. Департамент продуктов и технологий малого и среднего бизнеса.,07.05.2019 11:41,Не указано,высшее,М,26,21.0,Москва,True,True,True,False,False,False,False,False,True,False,False,False,110000
"Веб-разработчик, front-end",Горсеть,Сторож,26.04.2019 16:55,Не указано,среднее специальное,М,24,18.0,другие,True,True,True,True,True,True,True,False,False,False,False,True,20000
Специалист по IT,Сервер-плюс,IT-инженер,22.04.2019 08:15,Не указано,высшее,М,23,18.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,20000
Техник-программист,ГУП НАО НАК,Главный специалист отдела информационных технологий,07.05.2019 09:21,Не указано,среднее специальное,Ж,23,3.0,другие,False,True,True,False,False,False,False,False,True,False,False,False,35000
Аналитик бизнес-процессов,PricewaterhouseCoopers (Россия),Консультант,07.05.2019 12:51,Не указано,высшее,М,21,20.0,Москва,True,True,True,False,False,False,False,True,True,False,False,False,150000
Контент-менеджер,Diada-arms,Контент-менеджер,07.05.2019 12:17,Не указано,высшее,Ж,22,20.0,Москва,True,True,True,True,True,True,False,True,True,True,False,True,60000
Инженер-проектировщик,ВолгоУралНИПИгаз,Инженер 1 категории,26.04.2019 11:48,Не указано,высшее,М,24,21.0,другие,False,True,True,False,False,False,False,False,True,False,False,False,25000
Менеджер проекта,Спортивный клуб «Гладиатор»,Помощник тренера,10.04.2019 17:27,Не указано,высшее,М,24,22.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,50000
java developer,Nexign (ранее «Петер-Сервис»),Инженер-программист,16.04.2019 22:42,Не указано,высшее,М,23,17.0,Санкт-Петербург,True,True,True,True,True,True,False,True,True,True,False,True,83520
PHP-программист,Университет,Лаборант,25.04.2019 12:04,Не указано,неоконченное высшее,М,19,15.0,город-миллионник,False,False,False,True,True,True,False,True,False,True,False,True,20000
Системный администратор,РН-Учет,Помощник системного администратора,21.04.2019 23:20,Не указано,среднее специальное,М,21,6.0,Санкт-Петербург,False,False,True,False,False,False,False,False,True,False,False,False,30000
Радиоинженер,"БНС Груп, ОАО",Продавец-консультант,07.05.2019 15:30,Не указано,высшее,Ж,23,2.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,50000
Контент-менеджер,Центр Организации Мероприятий,Контент-менеджер,22.04.2019 00:20,Не указано,высшее,М,23,21.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,45000
Системный администратор,"Свит Лайф Фудсервис, ООО",Оператор 1C,17.04.2019 12:40,Не указано,неоконченное высшее,М,22,15.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,50000
Копирайтер. Smm менеджер.,Vilewish.ru,SMM-менеджер,22.04.2019 14:13,Не указано,высшее,Ж,31,16.0,Москва,False,False,False,True,False,False,False,True,False,False,False,True,30000
Программист-разработчик,"ООО ""Гриффин Технолоджи""",Менеджер по продажам,07.05.2019 13:12,Не указано,среднее специальное,М,21,15.0,Москва,False,False,True,True,True,True,False,False,True,False,False,True,60000
Программист С#,НИЦ CALS,Программист C#,17.04.2019 16:59,Не указано,высшее,М,22,17.0,другие,False,True,True,False,False,False,False,False,True,False,False,False,35000
Программист,Торговый Дом «Аскона»,Менеджер по продажам,11.04.2019 10:17,Не указано,высшее,Ж,25,23.0,другие,False,True,True,False,False,False,False,False,True,False,False,False,25000
"Android Developer (Java, Kotlin)",Индивидуальное предпринимательство / частная практика / фриланс,Android Developer,26.04.2019 12:45,Не указано,высшее,Ж,34,8.0,Санкт-Петербург,True,True,True,True,True,False,False,False,True,False,False,True,40000
Системный администратор,Колл центр,Системный администратор,26.04.2019 11:33,Имеется собственный автомобиль,среднее специальное,М,27,15.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,20000
Программист С#,"ХимСофт, ООО",Программист С#,25.04.2019 12:13,Не указано,высшее,М,22,8.0,другие,True,False,True,True,False,False,False,True,True,False,False,True,50000
Оператор,Деловые Линии,Оператор на телефоне,05.04.2019 17:07,Не указано,высшее,Ж,24,2.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,27000
Операционист,Альфа-Банк (Россия),Специалист по продажам,25.04.2019 11:21,Не указано,высшее,Ж,22,6.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,15000
Начинающий специалист,IVA Agency,Web-разработчик,08.04.2019 10:27,Не указано,высшее,М,20,14.0,город-миллионник,False,True,False,True,True,True,False,True,False,True,False,True,20000
Front-end Developer (JS/Vue.js/Nuxt.js),Klooway Technologies,Full-Stack Developer (Vue.js/Laravel),14.05.2019 20:13,Не указано,высшее,М,33,27.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,130000
Интернет-маркетолог,WhyNot,Менеджер проектов,22.04.2019 14:47,Не указано,высшее,Ж,22,13.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,40000
Technical Support Engineer (trainee/junior),Radar MMS,Information objects certification specialist,16.04.2019 17:55,Не указано,высшее,Ж,26,19.0,Санкт-Петербург,False,False,True,False,False,False,False,False,True,False,False,False,40000
Программист 1С,ОАО Тамбовский завод «Октябрь»,инженер-программист 1 категории,07.05.2019 10:25,Не указано,высшее,М,26,19.0,другие,True,True,True,False,False,False,False,False,True,False,False,False,38000
PHP-Laravel -программист,Avromic LLC,PHP-программист,16.04.2019 16:31,Не указано,высшее,Ж,36,24.0,Москва,False,False,True,False,False,False,False,False,False,False,False,True,50000
Менеджер проектов,Металл-Завод,Проект менеджер + Продакт менеджер,07.05.2019 08:13,Имеется собственный автомобиль,высшее,М,30,25.0,Москва,False,True,True,False,False,False,False,False,True,False,False,False,120000
Android разработчик,Apps Lab,Android разработчик,09.04.2019 09:00,Не указано,высшее,М,22,21.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,30000
Инженер по телекоммуникациям,"Спутник ТВ, ООО",Инженер службы технической поддержки,19.04.2019 15:21,Имеется собственный автомобиль,высшее,М,27,25.0,город-миллионник,False,False,True,False,False,False,False,False,True,False,False,False,25000
Системный администратор,DEEP2000,Инженер по банковскому оборудованию,07.05.2019 11:30,Имеется собственный автомобиль,неоконченное высшее,М,27,18.0,Санкт-Петербург,False,True,True,False,False,False,False,True,True,False,False,False,42000
Специалист по информационной безопасности,ООО «Эдельвейс»,Аналитик,06.04.2019 18:04,Не указано,высшее,М,23,11.0,Санкт-Петербург,False,False,True,False,False,False,False,True,True,True,False,False,50000
Системный администратор,Щелковский народный суд,инженер,18.04.2019 13:20,Не указано,высшее,М,22,5.0,другие,False,False,True,False,False,False,False,True,True,True,False,True,40000
Сервисный инженер,СЦ Мегамозг,Сервисный инженер,10.04.2019 13:22,Не указано,среднее специальное,М,21,3.0,Москва,False,False,True,False,False,False,False,False,True,False,False,False,35000
Web-программист,Slashstudio,Web-программист,07.05.2019 15:29,Имеется собственный автомобиль,среднее специальное,М,23,14.0,другие,True,True,True,True,False,False,False,False,True,False,False,True,30000
Инженер по телекоммуникациям,Tele2 Kazakhstan,Специалист по обработке информации,22.04.2019 06:23,Не указано,высшее,Ж,23,21.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,25302
Junior Test Engineer,"ООО""Мобильная карта""",Специалист службы поддержки пользователей,07.05.2019 12:40,Не указано,высшее,Ж,24,16.0,Санкт-Петербург,False,True,True,False,True,True,False,True,True,True,False,True,42000
Оператор видеонаблюдения,ИП Слизунова,Оператор видеонаблюдения,08.04.2019 14:05,Не указано,среднее специальное,М,24,5.0,другие,False,False,True,False,False,False,False,True,True,True,False,False,20000
